Order,Wavelength,detector x,detector y,detector z,cfm2 x,cfm2 y,cfm1 azimuth,cfm1 elevation,cfm2 azimuth,cfm2 elevation,dfocusz
0,0,78.126,99.319,14.299,116.25,164.25,18.371,-0.101,-1.175,0.45,-1 1
65,0.95155681,44.10308201,41.04202726,10.0146,-59.89521404,-57.78398129,37.66801302,-3.35602483,26.07930117,-5.33491223,-1.5 -1.0 -0.5 0.5 1.0 1.5
65,0.94913554,43.62559113,22.920342,10.0146,-58.26541685,-31.81407716,37.59781825,-1.84757077,26.31861073,-2.87327869,-1.5 -1.0 -0.5 0.5 1.0 1.5
65,0.94671428,43.44040509,6.95388582,10.0146,-57.12684891,-8.25871903,37.54870183,-0.47947657,26.48610894,-0.69209575,-1.5 -1.0 -0.5 0.5 1.0 1.5
65,0.94429301,43.46579201,-7.50771718,10.0146,-56.34042187,13.31991775,37.51473849,0.77295664,26.60208028,1.28702942,-1.5 -1.0 -0.5 0.5 1.0 1.5
65,0.94187175,43.65224271,-20.85263668,10.0146,-55.82151997,33.21673413,37.49231179,1.92642056,26.67884397,3.11133125,-1.5 -1.0 -0.5 0.5 1.0 1.5
65,0.93945048,43.96701726,-33.33401098,10.0146,-55.51394803,51.63578374,37.47901231,2.99254785,26.72456752,4.81188977,-1.5 -1.0 -0.5 0.5 1.0 1.5
65,0.93702922,44.38705883,-45.1274638,10.0146,-55.37793313,68.71960366,37.47312949,3.97955917,26.74501727,6.41045054,-1.5 -1.0 -0.5 0.5 1.0 1.5
75,0.82384319,15.78173905,32.0371676,10.0146,-22.45519784,-46.30264725,36.02171622,-2.63576066,31.62618321,-4.28613408,-1.5 -1.0 -0.5 0.5 1.0 1.5
75,0.82202455,15.5976545,17.14129813,10.0146,-21.37063429,-24.84900188,35.97296479,-1.4143788,31.78848525,-2.25419301,-1.5 -1.0 -0.5 0.5 1.0 1.5
75,0.82020592,15.57219025,3.68402799,10.0146,-20.57179361,-5.06724894,35.93701812,-0.28835053,31.90807743,-0.41165966,-1.5 -1.0 -0.5 0.5 1.0 1.5
75,0.81838728,15.66815552,-8.70368753,10.0146,-19.99050682,13.29133702,35.9108405,0.75605827,31.9951564,1.28619688,-1.5 -1.0 -0.5 0.5 1.0 1.5
75,0.81656864,15.86094065,-20.26175079,10.0146,-19.58153148,30.40528665,35.89241234,1.72874242,32.05646911,2.86868648,-1.5 -1.0 -0.5 0.5 1.0 1.5
75,0.81475,16.13321414,-31.1562671,10.0146,-19.31291186,46.40486307,35.88030385,2.63696765,32.09676734,4.35625695,-1.5 -1.0 -0.5 0.5 1.0 1.5
75,0.81293136,16.47217902,-41.50773317,10.0146,-19.16097315,61.38566277,35.87345332,3.48611686,32.11955979,5.76384822,-1.5 -1.0 -0.5 0.5 1.0 1.5
85,0.72635411,-5.43751387,25.61696235,10.0146,5.70683339,-38.04083204,34.73618044,-2.13208164,35.85596037,-3.54024538,-1.5 -1.0 -0.5 0.5 1.0 1.5
85,0.72493821,-5.4790749,12.91867085,10.0146,6.48865624,-19.75880987,34.69990584,-1.10730987,35.97405576,-1.80373557,-1.5 -1.0 -0.5 0.5 1.0 1.5
85,0.72352232,-5.42592585,1.25286277,10.0146,7.08765005,-2.70660629,34.67209252,-0.15164897,36.06446662,-0.20430449,-1.5 -1.0 -0.5 0.5 1.0 1.5
85,0.72210642,-5.29715135,-9.61100869,10.0146,7.54150453,13.27036971,34.65100606,0.74329736,36.13291875,1.28608109,-1.5 -1.0 -0.5 0.5 1.0 1.5
85,0.72069053,-5.10620833,-19.83218086,10.0146,7.87682672,28.28824924,34.63541982,1.5838607,36.18343889,2.68691741,-1.5 -1.0 -0.5 0.5 1.0 1.5
85,0.71927463,-4.86303812,-29.5259697,10.0146,8.11329579,42.43519312,34.62442488,2.37487541,36.21899457,4.01241658,-1.5 -1.0 -0.5 0.5 1.0 1.5
85,0.71785874,-4.5752615,-38.77898054,10.0146,8.26601792,55.77837011,34.61732232,3.12005446,36.24185495,5.27331968,-1.5 -1.0 -0.5 0.5 1.0 1.5
95,0.64949572,-22.05016889,20.76985263,10.0146,27.84547676,-31.76285801,33.69665076,-1.75821792,39.20155264,-2.97881813,-1.5 -1.0 -0.5 0.5 1.0 1.5
95,0.64836222,-22.01604424,9.67671393,10.0146,28.44073617,-15.84871604,33.66834533,-0.87720648,39.29184454,-1.45929939,-1.5 -1.0 -0.5 0.5 1.0 1.5
95,0.64722872,-21.92167436,-0.63753995,10.0146,28.91111485,-0.8777537,33.64596497,-0.04857328,39.36307099,-0.04384967,-1.5 -1.0 -0.5 0.5 1.0 1.5
95,0.64609522,-21.77768085,-10.32697694,10.0146,29.27927189,13.25224514,33.62844014,0.73316067,39.41871083,1.28630014,-1.5 -1.0 -0.5 0.5 1.0 1.5
95,0.64496172,-21.59192398,-19.50295349,10.0146,29.56196124,26.62076824,33.61497886,1.47227235,39.46132504,2.54479913,-1.5 -1.0 -0.5 0.5 1.0 1.5
95,0.64382822,-21.37043458,-28.24898118,10.0146,29.77202725,39.29005392,33.60497308,2.17212828,39.49286895,3.74194378,-1.5 -1.0 -0.5 0.5 1.0 1.5
95,0.64269472,-21.11797918,-36.62954852,10.0146,29.91961421,51.30893906,33.59794188,2.83538873,39.51488029,4.88573007,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58734597,-35.46694302,16.96208494,10.0146,45.81138532,-26.80283753,32.83411897,-1.46857463,41.92145063,-2.53907701,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58641809,-35.39049592,7.09867196,10.0146,46.28297658,-12.73474329,32.81124844,-0.69768764,41.99307219,-1.18638953,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58549022,-35.2740164,-2.15534697,10.0146,46.66512654,0.58751475,32.79270687,0.03218217,42.05095965,0.08446119,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58456234,-35.12376215,-10.90821579,10.0146,46.97232408,13.23462804,32.77779631,0.72478343,42.09735526,1.28667622,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58363446,-34.94454557,-19.2409845,10.0146,47.21567612,25.26309492,32.7659811,1.38312334,42.13396963,2.43019497,-1.5 -1.0 -0.5 0.5 1.0 1.5
105,0.58270659,-34.74017554,-27.21616514,10.0146,47.40394681,36.71826907,32.75683804,2.00962777,42.16214647,3.52272441,-1.5 -1.0 -0.5 0.5 1.0 1.5
